計劃年度,主持人,執行機關,計劃名稱,執行起迄,核定金額
"102","李文益","國立屏東教育大學","長庚醫療財團法人小兒科","分析「先天性T細胞免疫缺損」病童的「新生胸線育化T細胞」、「反應型Th1細胞」、「Th17細胞」及「記憶型T細胞」","2013/08/01~2016/07/31","4290000"
"102","李文珍","國立屏東教育大學","臺中榮民總醫院教學研究部","探討HMGB1加重高血糖誘發內質網壓力導致血管內皮細胞功能缺損惡化之機轉","2013/08/01~2014/07/31","950000"
"102","李文森","臺北醫學大學","臺北醫學大學醫學科學研究所","葉酸抑制腫瘤生長之研究","2013/08/01~2015/07/31","1800000"
"102","李文華","臺北醫學大學","中央研究院基因體研究中心","胰臟CTC及原發癌細胞的鑑定,描述及分子分析(1/3)","2013/08/01~2014/07/31","3153000"
"102","李文泰","臺北醫學大學","衛生福利部國家中醫藥研究所中藥化學研究組","多單元連鎖反應的開發及其在抗癌藥物合成上的應用","2013/08/01~2015/07/31","3000000"
"102","李文廷","國立高雄師範大學","國立高雄師範大學軟體工程系","基於多重領域矩陣之軟體變更影響分析方法","2013/08/01~2014/07/31","554000"
"102","李皇謀","長榮大學","長榮大學健康心理學系","項目法指示性遺忘的注意力抑制機制","2013/08/01~2015/07/31","1681000"
"102","李守誠","龍華科技大學","龍華科技大學多媒體與遊戲發展科學系","總計畫暨子計畫二：電腦兵棋互動推演的變軌攔截模式及戰場情境多媒體整合研究(II)","2013/01/01~2013/12/31","666000"
"102","李安明","國立新竹教育大學","國立新竹教育大學教育與學習科技學系","我國國民小學校長教學領導權責概念與運作之研究","2013/08/01~2016/07/31","2237000"
"102","李安謙","國立交通大學","國立交通大學機械工程學系（所）","半導體批次製程可變量測延遲控制器開發研究","2013/08/01~2015/07/31","1663000"
"102","李安謙","國立交通大學","國立交通大學機械工程學系（所）","指管系統之控制模擬技術研究(I)","2013/01/01~2013/12/31","600000"
"102","李安榮","國立交通大學","國防醫學院藥學系","新穎sunitinib類似物的小分子抗血管新生藥物之設計、合成與活性","2013/08/01~2014/07/31","1100000"
"102","李暉","國立東華大學","國立東華大學課程設計與潛能開發學系暨科學教育研究所","藉由地方本位永續實踐方案提升偏鄉學童之科學學習－－以土地與水為核心","2013/08/01~2016/07/31","2349000"
"102","李玉琇","國立中正大學","國立中正大學心理學系","工作記憶中處理與儲存之間的交互作用","2013/08/01~2016/07/31","3042000"
"102","李玉嬋","國立臺北護理健康大學","國立臺北護理健康大學生死教育與輔導研究所","醫療諮商心理師職能分析與醫療諮商實務能力訓練及其服務效果研究","2013/08/01~2014/07/31","734000"
"102","李玉君","國立暨南國際大學","國立暨南國際大學公共行政與政策學系（所）","德國住宅津貼法制之研究","2013/08/01~2014/07/31","393000"
"102","李玉春","世新大學","世新大學法律學系（所）","僱用型態多樣化社會之勞工從屬性判斷基準--日台之比較分析","2013/08/01~2015/07/31","674000"
"102","李玉玲","國立中山大學","國立中山大學海洋生物科技暨資源學系（所）","南海單細胞固氮生物之分布及其對新生產力之貢獻","2013/08/01~2014/07/31","2440000"
"102","李玉秀","長庚學校財團法人長庚科技大學","長庚學校財團法人長庚科技大學護理系","不同學制的護生學習型態對學習成效、學習滿意度及關懷行為之相關性研究","2013/08/01~2014/07/31","383000"
"102","李玉珉","長庚學校財團法人長庚科技大學","國立故宮博物院書畫處","北朝晚期佛教藝術研究","2013/08/01~2016/07/31","1656000"
"102","李玉郎","國立成功大學","國立成功大學化學工程學系（所）","低毒性膠/固態電解質的開發以應用於染料敏化太陽能電池(1/2)","2013/06/01~2014/05/31","778000"
"102","李玉郎","國立成功大學","國立成功大學化學工程學系（所）","全固態高分子電解質開發及其在染料敏化太陽能電池的應用(II)","2013/01/01~2013/12/31","685000"
"102","李開偉","中華大學","中華大學工業管理學系","上下樓梯之步態觀察與生物力學分析","2013/08/01~2016/07/31","2024000"
"102","李後晶","國立臺灣大學","國立臺灣大學昆蟲學系暨研究所","生物時鐘調控德國蜚蠊嗅覺學習行為表現的分子機制探討","2013/08/01~2016/07/31","4080000"
"102","李龍湖","國立中興大學","國立中興大學獸醫學系（所）","家禽里奧毒感染雞隻致病機轉(2/3)","2013/08/01~2014/07/31","2150000"
"102","李龍正","國立中興大學","財團法人國家實驗研究院儀器科技研究中心","微型高光譜儀研製","2013/06/01~2014/05/31","879000"
"102","李龍緣","中國醫藥大學","中國醫藥大學癌症生物研究所","(子計畫三)探討WYC-0209及其衍生物之分子作用機制與生物活性(3/3)","2013/05/01~2014/04/30","4541000"
"102","李龍緣","中國醫藥大學","中國醫藥大學癌症生物研究所","HDA9c/MITR介導的訊息途徑在間質幹細胞分化成脂肪與骨骼細胞及人類疾病肥胖和骨質疏鬆症中所扮演的角色--子計畫三(3/3)","2013/10/01~2014/09/30","2999000"
"102","李皎正","國立臺北護理健康大學","國立臺北護理健康大學醫護教育研究所","運用ADDIE模式研發學習成果導向之臨床教師培訓課程之實證研究","2013/08/01~2016/07/31","2988000"
"102","李美璇","國立臺北護理健康大學","國防醫學院公共衛生學系","營養與飲食行為相關之醫療服務利用與費用支出評估","2013/08/01~2014/07/31","568000"
"102","李美璇","國立陽明大學","國立陽明大學臨床醫學研究所","宿主、病毒與環境因子對於C型肝炎病毒感染者之病毒自發性清除及肝癌發生的影響","2013/10/01~2015/07/31","2016000"
"102","李美燕","國立屏東教育大學","國立屏東教育大學中國語文學系","東皋心越的禪道與藝境(Ⅱ-II))","2013/08/01~2014/07/31","313000"
"102","李美賢","國立暨南國際大學","國立暨南國際大學東南亞研究所","後殖民印尼「性/別道德」規範過程的歷史比較分析--「混沌演化」背後的理路及其意涵","2013/08/01~2015/07/31","936000"
"102","李美華","國立交通大學","國立交通大學傳播與科技學系","數位匯流下的台灣族群媒體：台灣客家廣播媒體之組織內外電腦中介傳播研究","2013/08/01~2014/07/31","469000"
"102","李宏鎰","中山醫學大學","中山醫學大學心理學系（所）（臨床組）","閱讀困難兒童與注意力缺陷過動症兒童之時間知覺缺損","2013/08/01~2014/07/31","517000"
"102","李宏仁","國立雲林科技大學","國立雲林科技大學營建工程系暨研究所","子計畫:高強度鋼筋混凝土構架接頭耐震行為設計與分析模式(I)","2013/08/01~2014/07/31","515000"
"102","李宏仁","國立臺灣海洋大學","國立臺灣海洋大學海洋環境資訊系","子計畫：全球變遷因子對東海及西北太平洋黑潮海域營養鹽分布之影響：潮流生地化耦合模式","2013/08/01~2014/07/31","409000"
"102","李宏志","國立成功大學","國立成功大學財務金融研究所","在台灣期貨市場日交易者的紀律行為","2013/08/01~2014/07/31","400000"
"102","李源順","臺北市立大學","臺北市立大學","數學素養研究：國中教師的專業成長歷程","2013/08/01~2014/07/31","811000"
"102","李源順","臺北市立大學","臺北市立大學數學系","數學亮點基地： 師培者、輔導團員、學校教師都是學習者","2013/10/01~2014/09/30","1679000"
"102","李源泉","國立中興大學","國立中興大學應用數學系（所）","Korovkin's theorem for commutative hermitian operator-valued positive real linear operator","2013/08/01~2014/07/31","294000"
"102","李經民","國立雲林科技大學","國立雲林科技大學環境與安全衛生工程系（所）","雲嘉地區PM2.5 氣膠氣/固相分佈與季節特性之研究","2013/08/01~2014/07/31","964000"
"102","李宗錂","國立中山大學","國立中山大學應用數學系（所）","多項式特徵值問題之同倫連續法","2013/08/01~2014/07/31","321000"
"102","李宗儒","國立中興大學","國立中興大學行銷學系（所）","應用TRIZ理論與詮釋結構模式(ISM)以建構"台灣餐廳"於海外設店之策略規劃","2013/08/01~2014/07/31","616000"
"102","李宗演","國立臺北科技大學","國立臺北科技大學電子工程系","低功率及快速工作排程硬體電路設計","2013/08/01~2014/07/31","580000"
"102","李宗霖","南榮學校財團法人南榮科技大學","南榮學校財團法人南榮科技大學室內設計系","透地雷達與類神經網路應用於海堤淘空檢測模式之建立(1/2)(2/2)","2013/08/01~2014/07/31","398000"
"102","李宗霖","國立中山大學","國立中山大學海洋環境及工程學系（所）","子計畫：持久性有機污染物在高輸砂量之河-海輸運系統中之宿命研究","2013/08/01~2014/07/31","1717000"
"102","李宗焜","國立中山大學","中央研究院歷史語言研究所","新見甲骨文字研究與增補","2013/08/01~2016/07/31","1749000"
"102","李宗鴻","國立雲林科技大學","國立雲林科技大學休閒運動研究所","森林生態渡假園區生態環境創新模式之建構與評估","2013/06/01~2014/05/31","359000"
"102","李宗鴻","國立雲林科技大學","國立雲林科技大學休閒運動研究所","自然取向遊客生態旅遊行為的概念化與量表發展","2013/08/01~2014/07/31","876000"
"102","李宗南","國立中山大學","國立中山大學資訊工程學系（所）","使用雲端基因演算法從大量機器製造過程資料中即時偵測異常參數","2013/08/01~2014/07/31","762000"
"102","李宗南","國立中山大學","國立中山大學資訊工程學系（所）","視覺學習基礎的3D雲端互動魚缸研發","2013/08/01~2015/07/31","1929000"
"102","李宗其","長庚大學","長庚大學醫學影像暨放射科學系","發展質子強度調控放射治療機器及病患個別品保協議","2013/08/01~2015/07/31","1616000"
"102","李宗玄","國立陽明大學","國立陽明大學生理學研究所","第一錨型瞬態電位受體調控膽固醇代謝之病生理角色及其分子機轉","2013/08/01~2016/07/31","5080000"
"102","李宗璘","國立陽明大學","中央研究院基因體研究中心","探討streptothricin F生物合成與擴充以streptothricin F為基礎的分子庫","2013/08/01~2016/07/31","5700000"
"102","李宗榮","國立陽明大學","中央研究院社會學研究所","制度轉型與台灣企業網絡的動態演變","2013/08/01~2016/07/31","1523000"
"102","李宗芹","國立政治大學","國立政治大學教育學系","舞蹈治療對自閉症兒童的動勢心理介入研究","2013/08/01~2014/07/31","563000"
"102","李宗禾","東吳大學","東吳大學日本語文學系（所）","台灣日語學習者之寫作動機研究--以日文系初級日語學習者為對象","2013/08/01~2014/07/31","312000"
"102","李宗翰","國立中興大學","國立中興大學生命科學系（所）","建立台灣常見觀賞魚--女王燈青?魚(Oryzias dancena)為實驗平台, 以探究低溫逆境下魚類低溫誘導基因的作用機制(1/3)","2013/08/01~2014/07/31","1900000"
"102","李宗翰","國立金門大學","國立金門大學閩南文化研究所","南宋中後期之史學轉型：以李心傳《建炎以來系年要錄》為例","2013/11/01~2014/10/31","235000"
"102","李宗翰","國立臺中教育大學","國立臺中教育大學資訊工程學系(含碩士班)","針對無線感測網路在與無線區域網路共存環境下的自適應通道分配路由機制之研究","2013/08/01~2014/07/31","449000"
"102","李宗諺","長庚大學","長庚大學中醫學系","虎杖對脂質代謝異常的脂肪肝小鼠肝臟法尼酯X受體與膽酸生合成的調控機制","2013/08/01~2014/07/31","950000"
"102","李麗娜","國立臺灣大學","國立臺灣大學醫學院檢驗醫學科","介白質-10在結核病患者巨噬細胞凋亡及自噬中的角色","2013/08/01~2015/07/31","2200000"
"102","李麗娜","國立臺灣大學","國立臺灣大學醫學院檢驗醫學科","抗結核治療中肝炎之性別特異性風險及其與PXR受體基因多型性之關係","2013/08/01~2014/07/31","550000"
"102","李麗華","廣亞學校財團法人育達科技大學","廣亞學校財團法人育達科技大學資訊管理系","雲端架構下以顧客評論為分析內容之服務滿意度自動化語意分析研究","2013/08/01~2014/07/31","622000"
"102","李麗英","中州學校財團法人中州科技大學","中州學校財團法人中州科技大學電子工程系","以氨化技術合成氮化鎵奈米線之微結構及光學特性之研究","2013/08/01~2014/07/31","521000"
"102","李官陵","國立東華大學","國立東華大學資訊工程學系暨研究所","在巨量資料中時序資料探勘與容錯資料探勘技術之探討","2013/08/01~2014/07/31","665000"
"102","李銘仁","國立臺灣大學","國立臺灣大學醫學院神經科","毛毛樣血管性病變之基因研究(2/3)","2013/08/01~2014/07/31","1630000"
"102","李香君","高雄醫學大學","高雄醫學大學醫學系內科","解析基因選擇性剪接與心律不整的關係","2013/08/01~2014/07/31","1050000"
"102","李力庸","國立中央大學","國立中央大學歷史學研究所","定耕與社會經濟：戰後山地農業發展之研究(1945-1960)","2013/08/01~2014/07/31","423000"
"102","李宛倫","輔仁大學","輔仁大學學校財團法人輔仁大學英國語文學系（所）","透過科技輔助之文學圈模式協助台灣與日本大學英語學習者進行跨文化溝通與合作之實行與成效","2013/08/01~2014/07/31","445000"
"102","李宜","國立清華大學","國立清華大學經濟學系（所）","國際貿易與國際分工對台灣製造業勞工薪資之影響","2013/08/01~2014/07/31","426000"
"102","李宜堅","國立成功大學","國立成功大學醫學系外科","系統性評估viscolin 於缺血性腦中風之神經保護效益","2013/08/01~2016/07/31","3240000"
"102","李宜堅","國立成功大學","國立成功大學醫學系外科","評估cinnamophilin於腦中風後經由vagus-cholinergic pathway之調節免疫缺損與抗發炎神經保護效益","2013/08/01~2016/07/31","3600000"
"102","李宜儒","中山醫學大學","中山醫學大學微生物免疫研究所","免疫相關因子對乳腺構形及功能的角色","2013/08/01~2014/07/31","1295000"
"102","李宜中","中山醫學大學","臺北榮民總醫院神經醫學中心周邊神經科","運用全外顯子定序技術找尋確認遺傳性運動感覺神經病變之新穎致病基因及罕見突變","2013/08/01~2016/07/31","4600000"
"102","李宜靜","中山醫學大學","中央研究院細胞與個體生物學研究所","第十型葡萄糖運送子之生理功能與相關疾病之分子機制","2013/08/01~2015/07/31","2940000"
"102","李宜學","國立中央大學","國立中央大學中國文學系","中晚唐詩中的西域物質文化研究──以器皿為討論對象","2013/08/01~2014/07/31","330000"
"102","李宜玫","國立臺北教育大學","國立臺北教育大學心理與諮商學系（所）","發展與驗證國小低成就弱勢學生數學科補救教學之多元診斷評量","2013/08/01~2014/07/31","400000"
"102","李宜涯","中原大學","中原大學通識教育中心","散播在文字間的關愛─兩份華工刊物之比較研究","2013/08/01~2014/07/31","416000"
"102","李宜家","國立臺灣大學","國立臺灣大學醫學院內科","非侵入性高光譜顯微影像系統進行食道癌域理論之光學定量分析","2013/08/01~2016/07/31","4203000"
"102","李宜釗","臺北醫學大學","臺北醫學大學神經再生醫學博士學位學程","研究腦指蛋白(Brain Finger Protein), Znf179, 對胚胎發育及腦部功能所扮演的作用","2013/08/01~2014/07/31","900000"
"102","李宜勳","臺北醫學大學","國防醫學院臨床藥學部","建立聽損大鼠模式之藥物篩選平台","2013/08/01~2014/07/31","800000"
"102","李宜勳","臺北醫學大學","黎明技術學院資訊科技系","子計畫一：具高運算能力之群組機器人雲端系統建置與管理","2013/08/01~2014/07/31","487000"
"102","李亞夫","國立成功大學","國立成功大學生命科學系","榕果、榕屬物候、與食果性動物散佈式交互作用之功能分析","2013/08/01~2016/07/31","3660000"
"102","李增欽","國立聯合大學","國立聯合大學土木與防災工程學系","白煙廢污泥資源再用於水泥砂漿之最佳化研究","2013/08/01~2014/07/31","577000"
"102","李玟頡","國立聯合大學","財團法人國家實驗研究院高速網路與計算中心","分子模擬研究銅導線於矽晶穿孔界面之力學行為","2013/02/01~2014/01/31","551000"
"102","李冠逸","長庚大學","長庚大學職能治療學系","中樞神經退化疾患其運動覺與嗅覺功能的改變","2013/08/01~2016/07/31","2094000"
"102","李冠穎","朝陽科技大學","朝陽科技大學行銷與流通管理系","服務人員品牌建購行為、消費者認知與商店績效間關係之研究","2013/08/01~2014/07/31","365000"
"102","李冠慰","義守大學","義守大學電子工程學系","超薄閘極氧化層在高銦成份增強型場效電晶體之研究與性能改善(II)","2013/08/01~2014/07/31","817000"
"102","李冠群","國立臺灣師範大學","國立臺灣師範大學生命科學系（所）","以蛋白質工程技術提升海藻糖合成?轉化效率","2013/08/01~2014/07/31","870000"
"102","李冠群","國立臺灣師範大學","國立臺灣師範大學生命科學系（所）","利用生物轉化法生產海藻糖","2013/11/01~2014/10/31","1000000"
"102","李冠榮","崑山科技大學","崑山科技大學資訊工程系","結合雲端媒體之智慧型區域社群整合服務建置平台開發","2013/08/01~2014/07/31","703000"
"102","李加耀","國立臺北教育大學","國立臺北教育大學體育學系","身體、拳手與生涯：原住民拳擊手生涯想像之民族誌研究","2013/08/01~2015/07/31","1534000"
"102","李岡遠","臺北醫學大學","臺北醫學大學附設醫院","氧化壓力對慢性阻塞性肺疾病病患致病機轉之影響：探討和異常發炎，ＤＮＡ不穩定，表觀遺傳學以及細胞新陳代謝之關係","2013/08/01~2015/07/31","2600000"
"102","李財坤","國立臺灣大學","國立臺灣大學醫學院微生物學科暨研究所","(子計畫二)系統性篩選鑑定DNA拓樸alpha異構的專一性藥物(3/3)","2013/05/01~2014/04/30","3038000"
"102","李宣書","國立臺灣大學","國立臺灣大學生物科技研究所","墨西哥蠑螈肢體再生時染色質重塑因子的角色","2013/08/01~2016/07/31","4080000"
"102","李宣書","國立臺灣大學","國立臺灣大學生物科技研究所","藉由層黏連蛋白修飾的褐藻膠支架與肝臟轉錄調控因子以提高間葉幹細胞的藥物代謝活性之分子機制探討(1/2)","2013/08/01~2014/07/31","1300000"
"102","李澤民","國立成功大學","國立成功大學口腔醫學科暨研究所","生物活性複合支架模仿自然骨的單向性：製備、定性、動態細胞培養模式與動物實驗研究","2013/08/01~2015/07/31","1699000"
"102","李亦淇","長庚大學","長庚大學生化與生醫工程研究所","無標記癌症幹細胞篩選系統建立之研究","2013/08/01~2014/07/31","788000"
"102","李度","國立中央大學","國立中央大學化學工程與材料工程學系","以乙醯氨酚探討共晶及拆解作為分離及純化技術","2013/08/01~2015/07/31","2194000"
"102","李碧芳","國立成功大學","國立成功大學醫學系核子醫學科","缺氧分子造影於急性大腦缺血病變之研究:找尋應用於神經保護之治療標靶與診斷因子[第二及三年計畫]","2013/08/01~2014/07/31","850000"
"102","李碩仁","元智大學","元智大學機械工程學系（所）","抽脂針研究開發(2/2)","2013/06/01~2014/05/31","1103000"
"102","李碩仁","元智大學","元智大學機械工程學系（所）","電化學技術應用產學小聯盟(1/3)","2013/02/01~2014/01/31","1877000"
"102","李義明","國立交通大學","國立交通大學電機工程學系（所）","製程變異效應與本質參數擾動在次16奈米多通道矽電晶體特性擾動之研究(I)","2013/08/01~2014/07/31","791000"
"102","李義剛","大葉大學","大葉大學材料科學與工程學系","鋁合金及超合金真空硬銲技術之研究","2013/01/01~2013/12/31","587000"
"102","李享泰","國立暨南國際大學","國立暨南國際大學財務金融學系（所）","多重狀態轉換鏈下商品指數期貨及股票市場間的相關性結構及波動傳遞","2013/08/01~2014/07/31","637000"
"102","李炫昇","國立暨南國際大學","長庚醫療財團法人骨科","微小RNA與股骨頭缺血性壞死病人之相關研究","2013/08/01~2015/07/31","3160000"
"102","李玫樺","義守大學","義守大學材料科學與工程研究所","合成氧化鋅高分子複合奈米粒子及其在無痛阻隔保膚噴劑中抑菌效果之研究","2013/11/01~2014/10/31","482000"
"102","李貫銘","國立臺灣大學","國立臺灣大學機械工程學系暨研究所","切削條件改變下之刀腹磨耗偵測","2013/08/01~2014/07/31","1001000"
"102","李亭林","國立高雄大學","國立高雄大學亞太工商管理學系","供需維持、競爭績效與永續發展—談太陽能光電到再生能源的系統動態模擬","2013/08/01~2014/07/31","294000"
"102","李維倫","國立東華大學","國立東華大學諮商與臨床心理學系暨研究所","子計畫四：「專業之非」的心理學實踐：探討「南華認輔計畫」的人文想像與社會創新","2013/01/01~2015/12/31","2524000"
"102","李維楨","國立臺灣科技大學","國立臺灣科技大學機械工程系","多軸精密快速原型技術之研究","2013/08/01~2014/07/31","596000"
"102","李維聰","淡江大學","淡江大學電機工程學系","行動擴增實境雲端環境之視訊串流傳輸最佳化及無縫播放之研究","2013/08/01~2014/07/31","953000"
"102","李維斌","逢甲大學","逢甲大學資訊工程學系（所）","子計畫4：基於老人健康照護系統之隱私安全保護機制","2013/08/01~2014/07/31","561000"
"102","李維森","逢甲大學","財團法人國家實驗研究院國家災害防救科技中心","災害共通示警協議及公開資料服務計畫","2013/06/01~2014/05/31","9879000"
"102","李妮鍾","國立臺灣大學","國立臺灣大學醫學院(附設醫院)基因醫學部","建立診斷及評估唐氏症預後之分子工具","2013/08/01~2016/07/31","1619000"
"102","李妮鍾","國立臺灣大學","國立臺灣大學醫學院(附設醫院)基因醫學部","芳香族L-胺基酸脫羧酵素缺乏症之小鼠模式(3/3)","2013/08/01~2014/07/31","1665000"
"102","李榮順","國立成功大學","國立成功大學醫學系外科","評估撞擊性脊髓損傷後血管活性的變化-自主反應失調的機制探討","2013/08/01~2014/07/31","900000"
"102","李榮三","逢甲大學","逢甲大學資訊工程學系（所）","數位多媒體曝光補償及授權機制","2013/08/01~2014/07/31","893000"
"102","李榮祥","健行學校財團法人健行科技大學","健行學校財團法人健行科技大學電子工程系所","一種新型低成本透明導電薄膜之研製","2013/08/01~2014/07/31","571000"
"102","李榮全","國立虎尾科技大學","國立虎尾科技大學飛機工程系","具ZigBee無線式通訊功能之搜救與導航系統","2013/11/01~2014/10/31","438000"
"102","李榮顯","國立成功大學","國立成功大學機械工程學系（所）","具薄工件體積誤差補償及加工時間優化模組之五軸虛擬工具機研發","2013/08/01~2015/07/31","1677000"
"102","李榮宗","國立中山大學","國立中山大學機械與機電工程學系（所）","內嵌式銲接工具應用於摩擦攪拌銲接過程材料流動之理論與實驗研究","2013/08/01~2014/07/31","826000"
"102","李榮宗","國立中山大學","國立中山大學機械與機電工程學系（所）","熱效應對乳化液的混合油膜潤滑之創新模型研究","2013/08/01~2014/07/31","393000"
"102","李炯方","銘傳大學","銘傳大學英語會話教學組","利用功能性磁振照影探究神經基質在非金錢性高風險決策之活動","2013/08/01~2014/07/31","487000"
"102","李鶯喬","銘傳大學","臺北榮民總醫院精神病部","台灣同志社群的內化恐同症、心理健康、生活品質、與菸品使用現況","2013/08/01~2015/07/31","1934000"
"102","李新鄉","南臺科技大學","南臺科技大學教育領導與評鑑研究所","國中學生心理資本、學校生活經驗、學校文化與霸凌行為關係之研究(I)","2013/08/01~2014/07/31","508000"
"102","李新民","義守大學","義守大學物理治療學系","改良式鏡像治療系統研發","2013/08/01~2014/07/31","964000"
"102","李新民","義守大學","陸軍專科學校機械工程科","竹炭中空管束進行鎳-鑽石電鍍運用於拋光之可行性研究","2013/08/01~2014/07/31","842000"
"102","李新林","國立中正大學","國立中正大學資訊工程學系","設計個人屬性與交友連結的預測方法以逐步調整社群網路資訊","2013/08/01~2014/07/31","631000"
"102","李岱洲","國立中央大學","國立中央大學化學工程與材料工程學系","界面緩衝層對於電泳沉積光電極薄膜的性質探討","2013/08/01~2014/07/31","1035000"
"102","李綱","國立臺灣大學","國立臺灣大學機械工程學系暨研究所","利用車載資通訊之電動車智慧化節能控制技術研究(II)","2013/08/01~2014/07/31","565000"
"102","李憲忠","國立臺灣大學","中央研究院地球科學研究所","台灣地震科學中心:研究規劃與整合服務 (I)","2013/08/01~2014/07/31","3400000"
"102","李玲琍","國立高雄師範大學","國立高雄師範大學英語學系（所）","蒙古女性語藝修辭分析","2013/08/01~2014/11/30","608000"
"102","李玲玲","國立高雄師範大學","慈濟學校財團法人慈濟技術學院護理系","青少年運動行為與環境支持研究 II","2013/08/01~2014/07/31","934000"
"102","李育嘉","國立高雄大學","國立高雄大學應用數學系","廣義隨機積分的機率性質之研究","2013/08/01~2014/07/31","583000"
"102","李育明","國立臺北大學","國立臺北大學自然資源與環境管理研究所","城市永續發展之人文面向評估架構：社會生命週期評估與系統動力學之應用(I)","2013/08/01~2014/07/31","611000"
"102","李育民","國立交通大學","國立交通大學電機工程學系（所）","考量先進散熱技術的三維度積體電路熱分析法","2013/08/01~2014/07/31","724000"
"102","李育娟","國立臺灣師範大學","國立臺灣師範大學華語文教學系","日本文獻徵引《類林》系類書考究","2013/08/01~2014/07/31","399000"
"102","李育杰","國立臺灣科技大學","國立臺灣科技大學資訊工程系","利用文件分類與資料探勘技術持續進行電腦合法使用者辨識","2013/08/01~2014/07/31","679000"
"102","李育德","國立清華大學","國立清華大學化學工程學系（所）","新穎生物高分子-石墨烯複合材料製備與應用之研究","2013/08/01~2014/07/31","1665000"
"102","李傳房","國立雲林科技大學","國立雲林科技大學設計學研究所","樂齡族群生態旅遊體驗需求與人因設計之研究(I)","2013/08/01~2014/07/31","610000"
"102","李傳房","國立雲林科技大學","國立雲林科技大學設計學研究所","銀髮族擴增實境互動導覽介面研究","2013/09/01~2014/08/31","376000"
"102","李岳倫","國立雲林科技大學","財團法人國家衛生研究院癌症研究所","Cdc7/Dbf4 在 DNA 複製監控機制訊息傳遞之角色: 從機制到藥物開發","2013/08/01~2014/07/31","1175000"
"102","李岳倫","國立雲林科技大學","財團法人國家衛生研究院癌症研究所","缺氧微環境在腫瘤血管新生療法抗藥性的機制探討與藥物開發(子計畫一)(1/3)","2013/08/01~2014/07/31","1582000"
"102","李炳鈞","國立成功大學","國立成功大學電機工程學系（所）","高頻無線通訊微波介質陶瓷材料Mg4Ta2O9與Mg2TiO4之研製","2013/08/01~2014/07/31","822000"
"102","李炳昭","國立臺中教育大學","國立臺中教育大學體育學系(含碩士班、碩士在職專班)","英國大專院校協助學生運動員生涯發展策略之探析--以 Talented Athlete Scholarship Scheme 區域中心學校為例","2013/08/01~2014/07/31","600000"
"102","李芳艷","國立臺中教育大學","長庚醫療財團法人心臟外科","嚴重瀰漫性冠狀動脈疾病不適合行冠狀動脈介入治療的病人於冠狀動脈內施打自體血管內皮幹細胞可改善左心室功能(1/3)","2013/08/01~2014/07/31","2885000"
"102","李芳仁","國立臺灣大學","國立臺灣大學醫學院分子醫學研究所","(總計畫與子計畫一)研究新奇 ARL4 G蛋白的訊息作用在人類癌症參與的角色(3/3)","2013/05/01~2014/04/30","3500000"
"102","李貴富","銘傳大學","銘傳大學會計學系","查核品質屬性、財務報表可比性與經濟後果","2013/08/01~2014/07/31","447000"
"102","李貴英","東吳大學","東吳大學法律學系（所）","歐盟經濟治理與新金融監管架構：建立銀行聯盟之問題與研究","2013/08/01~2014/07/31","369000"
"102","李粵堅","東南科技大學","東南科技大學電子工程系","具第二型能帶結構之氧化鋅核殼奈米線陣列應用於提升染料敏化太陽能電池光電轉換效率之研究(1/2)","2013/10/01~2014/09/30","387000"
"102","李家儂","中國文化大學","中國文化大學土地資源學系","以空間型構法則建構TOD區內步行導向土地使用規劃及場站內部環境空間設計模型","2013/08/01~2014/07/31","599000"
"102","李家琪","中國文化大學","國立臺北商業技術學院會計資訊系","經營效率區隔之下人力資本、分所營運型態、經營瓶頸與未來策略之分析以及赴大陸執業對效率之影響－以聯合執業會計師事務所為例","2013/08/01~2014/07/31","370000"
"102","李家瑩","國立臺中科技大學","國立臺中科技大學企業管理系事業經營碩士班","網路購物情境之資訊負荷對於消費者行為意圖之影響","2013/08/01~2015/07/31","1209000"
"102","李家豪","國立臺中科技大學","國立臺中科技大學財務金融系","金融開放與市場流動性之研究","2013/08/01~2014/07/31","371000"
"102","李家銘","國立高雄海洋科技大學","國立高雄海洋科技大學航運管理系","菸品健康捐調漲對吸菸行為影響之研究","2013/08/01~2014/07/31","386000"
"102","李家岩","國立成功大學","國立成功大學製造資訊與系統研究所","估計多產出邊際生產力於不可微分之效率前緣","2013/08/01~2014/07/31","450000"
"102","李家鳳","國立成功大學","佛教慈濟醫療財團法人花蓮慈濟醫院耳鼻喉科","總計畫暨子計畫一：開發新式骨導式人工耳蝸-電極設計及製造(2/3)","2013/05/01~2014/04/30","1824000"
"102","李憶微","東吳大學","東吳大學社會工作學系（所）","促使大學教師建立學習社群的行動研究","2013/09/01~2014/08/31","473000"
"102","李憶菁","輔仁大學","輔仁大學學校財團法人輔仁大學醫學系","熱休克蛋白調控光誘導視網膜細胞凋亡機制之研究","2013/08/01~2014/07/31","1130000"
"102","李德春","輔仁大學","中央研究院地球科學研究所","運用整合型同位素系統分析球粒隕石中富含鈣鋁的包裹物--以探討太陽系的起源及其最早的演化歷史","2013/08/01~2014/07/31","1958000"
"102","李德松","輔仁大學","亞東技術學院工業管理系","裸視立體3D顯示器的視覺舒適、疲勞與偏好研究","2013/08/01~2014/07/31","469000"
"102","李德河","國立成功大學","國立成功大學土木工程學系（所）","降雨引致南部邊坡地下水位變動及崩壞特性之研究","2013/08/01~2016/07/31","2943000"
