計劃年度,主持人,執行機關,計劃名稱,執行起迄,核定金額
"102","丘建青","淡江大學","淡江大學電機工程學系","演化計算於同頻干擾對超寬頻通訊系統效能之研究","2013/08/01~2014/07/31","748000"
"102","丘臺生","國立臺灣大學","國立臺灣大學動物學研究所","探討新的資源評估方法以適用於 r-策略生物，如頭足類及多獲魚種","2013/08/01~2014/07/31","833000"
"102","中村友輝","國立臺灣大學","中央研究院植物暨微生物學研究所","磷酸膽鹼之生合成對於協調花序分支之研究","2013/08/01~2016/07/31","4500000"
"102","中村友輝","國立臺灣大學","中央研究院植物暨微生物學研究所","雪衣藻中大量累積油脂的脂質生合成研究(1/2)","2013/10/01~2014/09/30","550000"
"102","于明暉","國立臺灣大學","國立臺灣大學公共衛生學院流行病學與預防醫學研究所","探索早發肝細胞癌之病因及個人化醫療適切之生物標記：由發現到族群健康衝擊之評估(3/3)","2013/05/01~2014/04/30","3120000"
"102","于大光","國立臺灣大學","桃園創新科技學校財團法人桃園創新技術學院創意流行時尚設計系","梳理機機構對複合不織布成網性能之研究","2013/11/01~2014/10/31","420000"
"102","于大雄","國立臺灣大學","國防醫學院泌尿外科","在前列腺癌細胞株以NSC745885相關??類衍生物抑制核轉錄因子活化並誘導細胞凋亡","2013/08/01~2015/07/31","2500000"
"102","于錫亮","國立澎湖科技大學","國立澎湖科技大學觀光休閒學系-休閒組","島嶼韌性社區與小島住民環境治理研究: 澎湖群島漁村社區變遷、資源治理模式分析及韌性社區建構之探討(II)","2013/08/01~2014/07/31","970000"
"102","于漱","國立陽明大學","國立陽明大學護理學院","敘事治療團體應用於飲食障礙高風險青少女的介入成效","2013/08/01~2014/07/31","507000"
"102","于鴻仁","國立陽明大學","長庚醫療財團法人小兒科(高雄)","與新生兒免疫缺陷相關的微型核糖核酸microRNA及其功能驗證","2013/08/01~2016/07/31","3900000"
"102","于卓民","國立政治大學","國立政治大學企業管理學系","影響出口績效因素之研究: 以貿易公司為例","2013/08/01~2014/07/31","833000"
"102","于靖","國立臺灣大學","國立臺灣大學數學系暨研究所","算術幾何暨函數體算術幾何(4/4)","2013/08/01~2014/07/31","3890000"
"102","于長禧","廣亞學校財團法人育達科技大學","廣亞學校財團法人育達科技大學企業管理系","精實思維應用於服務業之顧客價值分析(II)","2013/08/01~2014/07/31","363000"
"102","于承平","廣亞學校財團法人育達科技大學","國防醫學院病理及寄生蟲研究所","篩選抑制乳癌及腎細胞癌幹細胞及表皮細胞間質化途徑之中草藥純化物及其分子機制研究","2013/08/01~2014/07/31","1050000"
"102","于劍平","崑山科技大學","崑山科技大學機械工程系","尺寸效應對鋁薄板微摩擦攪拌銲接之攪拌工具幾何設計準則與磨耗性質影響研究","2013/08/01~2014/07/31","630000"
"102","于劍平","崑山科技大學","崑山科技大學機械工程系","微摩擦攪拌銲接加工夾治具設計對鋁超薄板材銲合強度影響之研究","2013/06/01~2014/05/31","500000"
"102","于宏燦","國立臺灣大學","國立臺灣大學動物學研究所","〈子計畫二〉運用草蝦基因體學資源與遺傳標記開發產業所需之培育優質草蝦品系工具(3/3)","2013/06/01~2013/12/31","948000"
"102","于宏燦","國立臺灣大學","國立臺灣大學動物學研究所","以基因體與代謝質體分析臺灣本土囓齒動物腸道微生物發酵與其仿生學潛能之研究(2/3)","2013/08/01~2014/07/31","1050000"
